"month","avg_temp","total_precip"
2022-03-01,27.2892156862745,3.4
2022-04-01,27.3416666666667,16
2022-05-01,27.0650793650794,170
2022-06-01,24.6537037037037,0
2022-07-01,23.4,0
2022-08-01,24.2031746031746,0
2022-09-01,25.7572916666667,5
2022-10-01,26.8689393939394,4
2022-11-01,26.6291666666667,71.2
2022-12-01,26.1647058823529,131.4
2023-01-01,24.9166666666667,113.3
2023-02-01,26.3260416666667,58.3
2023-03-01,27.2734567901235,155
2023-04-01,27.7521739130435,88.2
2023-05-01,27.838,28.6
2023-06-01,25.0034722222222,7.2
2023-07-01,24.1666666666667,0
2023-08-01,24.5045454545455,0
2023-09-01,25.7857142857143,0.5
2023-10-01,27.2058823529412,30
2023-11-01,26.4666666666667,70
2023-12-01,26.4444444444444,18.1
