"month","avg_temp","total_precip"
2022-01-01,25.9394254501982,770.3
2022-02-01,26.7894812523174,133.7
2022-03-01,26.8589918516288,285.5
2022-04-01,25.9793303469078,451.1
2022-05-01,26.0222306608488,214.3
2022-06-01,24.8176639035713,0
2022-07-01,23.2224364414062,0
2022-08-01,24.5262724606452,0
2022-09-01,26.1336950787796,21.2
2022-10-01,26.7029191545708,309
2022-11-01,25.576830544447,529.7
2022-12-01,25.9198437817725,319.1
2023-01-01,25.4513857823592,366.3
2023-02-01,26.606724438773,424.7
2023-03-01,26.6048305188789,285.4
2023-04-01,26.8850851386307,419.9
2023-05-01,26.8534681455374,115.7
2023-06-01,24.6381347772992,7
2023-07-01,24.1710781538293,0.1
2023-08-01,24.965551323163,0.6
2023-09-01,26.7974481063221,5.5
2023-10-01,27.1796080507684,263
2023-11-01,26.05643629616,408.8
2023-12-01,26.4599672717086,849.3
