"month","avg_temp","total_precip"
2022-01-01,26.697592414231,205
2022-02-01,27.6970869034634,9
2022-03-01,26.9372157067095,505
2022-04-01,25.6960101246076,600
2022-05-01,25.746245825871,169.3
2022-06-01,24.6269447951356,2
2022-07-01,22.9919151130305,0
2022-08-01,24.1778879568919,361
2022-09-01,26.019925306028,93
2022-10-01,26.7132365454046,234
2022-11-01,25.7992462499088,489
2022-12-01,26.4716098944277,376
2023-01-01,26.3904827641494,268
2023-02-01,26.5819315295341,588
2023-03-01,26.7990536363335,745
2023-04-01,27.2456599934448,120
2023-05-01,27.2700157119959,184
2023-06-01,24.9749607510553,33
2023-07-01,24.6574022141616,0
2023-08-01,25.0234494410502,0
2023-09-01,27.3291613309814,0
2023-10-01,27.7799533713682,132
2023-11-01,26.4697825553816,131
2023-12-01,27.0071182162685,0
